Character;Top Left Mass;Top Right Mass;Bottom Left Mass;Bottom Right Mass;Normalized Top Left Mass;Normalized Top Right Mass;Normalized Bottom Left Mass;Normalized Bottom Right Mass;Center of Gravity X;Center of Gravity Y;Normalized COG X;Normalized COG Y;Horizontal Moment of Inertia;Vertical Moment of Inertia;Normalized Horizontal Moment of Inertia;Normalized Vertical Moment of Inertia
A;158;246;229;603;0.0158;0.0246;0.0229;0.0603;103.63025889967638;108.43203883495146;0.5181512944983819;0.5421601941747572;372087.29126213596;234366.02831715212;301.04149778489966;189.61652776468617
B;500;446;561;545;0.05;0.0446;0.0561;0.0545;100.29239766081871;101.72709551656921;0.5014619883040935;0.508635477582846;787213.1734892786;528052.5614035089;383.63215082323524;257.33555623952674
C;455;172;521;106;0.0455;0.0172;0.0521;0.0106;89.26874003189792;99.76714513556618;0.4463437001594896;0.4988357256778309;558216.0063795852;342832.4346092504;445.1483304462402;273.3910961796255
Ç;603;172;393;198;0.0603;0.0172;0.0393;0.0198;90.29721815519765;94.37628111273793;0.4514860907759883;0.4718814055636896;759732.5915080527;360017.3294289898;556.1732002255144;263.55587805928974
D;520;433;585;484;0.052;0.0433;0.0585;0.0484;98.6137487636004;101.42433234421365;0.493068743818002;0.5071216617210683;745689.9228486647;719957.3377843719;368.78829023178275;356.0619870348031
E;511;215;594;264;0.0511;0.0215;0.0594;0.0264;94.35037878787878;101.87310606060606;0.47175189393939393;0.5093655303030303;735905.4943181819;304578.5397727273;464.5868019685492;192.28443167470158
F;497;225;571;121;0.0497;0.0225;0.0571;0.0121;94.9009900990099;98.24045261669023;0.47450495049504954;0.49120226308345116;574556.2461103252;207772.1386138614;406.3339788616161;146.93927766185388
G;459;179;496;454;0.0459;0.0179;0.0496;0.0454;95.16309823677582;103.12468513853904;0.4758154911838791;0.5156234256926951;644623.3123425692;749000.757556675;405.93407578247434;471.6629455646568
Ğ;553;300;496;454;0.0553;0.03;0.0496;0.0454;95.85246810870771;97.29839156960621;0.47926234054353856;0.48649195784803106;1099345.4653355519;767774.7565169162;609.7312619720199;425.8318117121
H;524;524;619;619;0.0524;0.0524;0.0619;0.0619;99.51531058617672;101.44794400699912;0.4975765529308836;0.5072397200349956;903741.3053368328;893220.9641294838;395.33740390937567;390.73532989041286
I;244;270;272;302;0.0244;0.027;0.0272;0.0302;99.88970588235294;101.50183823529412;0.4994485294117647;0.5075091911764705;456533.9963235294;32088.76470588235;419.60845250324394;29.493349913494807
İ;311;346;272;302;0.0311;0.0346;0.0272;0.0302;99.88545897644191;96.35174654752234;0.49942729488220955;0.4817587327376117;706644.6937449229;33650.84971567831;574.0411809463224;27.33618985839018
J;28;501;230;451;0.0028;0.0501;0.023;0.0451;102.60495867768596;102.46446280991735;0.5130247933884298;0.5123223140495867;498428.9719008265;114879.17024793389;411.9247701659723;94.9414630148214
K;545;198;654;592;0.0545;0.0198;0.0654;0.0592;94.56963298139769;104.81447963800905;0.47284816490698844;0.5240723981900453;803842.5429864255;633203.6058320764;404.1440638443567;318.35274300255224
L;508;8;577;193;0.0508;0.0008;0.0577;0.0193;90.78693623639191;105.63219284603421;0.45393468118195957;0.5281609642301711;588891.0272161742;214691.6205287714;457.9245934806953;166.9452725729171
M;568;574;527;619;0.0568;0.0574;0.0527;0.0619;104.4270104895105;100.10751748251748;0.5221350524475524;0.5005375874125874;861315.5506993006;1375787.8107517483;376.4491043266174;601.3058613425474
N;525;259;140;490;0.0525;0.0259;0.014;0.049;100.65558698727015;96.98656294200849;0.5032779349363508;0.48493281471004246;492186.74469589815;403897.2708628006;348.0811490070001;285.6416342735506
O;458;455;497;493;0.0458;0.0455;0.0497;0.0493;99.54545454545455;100.6904887020494;0.49772727272727274;0.503452443510247;635520.6978455071;985361.8181818182;333.95727684997746;517.7939139158267
Ö;562;556;497;493;0.0562;0.0556;0.0497;0.0493;99.5426944971537;96.22770398481974;0.4977134724857685;0.48113851992409873;1026806.7020872864;1004323.157495256;487.09995355184367;476.43413543418217
P;496;439;561;67;0.0496;0.0439;0.0561;0.0067;97.39475367882278;96.75431861804222;0.4869737683941139;0.4837715930902111;550863.6583493282;281891.43698016636;352.4399605561921;180.35280676914033
R;505;434;601;552;0.0505;0.0434;0.0601;0.0552;97.15391969407266;102.06644359464627;0.4857695984703633;0.5103322179732314;808827.7643403442;599198.4378585087;386.62895044949533;286.42372746582635
S;416;178;210;451;0.0416;0.0178;0.021;0.0451;99.42948207171315;100.96812749003983;0.49714741035856574;0.5048406374501991;442598.72509960167;226591.5091633466;352.6683068522722;180.55100331740766
Ş;480;347;188;359;0.048;0.0347;0.0188;0.0359;99.52838427947599;95.66375545851528;0.49764192139737995;0.47831877729257644;643000.6550218341;227784.39301310043;467.9771870610146;165.7819454243817
T;356;393;272;301;0.0356;0.0393;0.0272;0.0301;100.06354009077155;96.49773071104387;0.5003177004538578;0.48248865355521936;610534.4931921331;169522.6626323752;461.8263942451839;128.23196870830196
U;527;155;515;172;0.0527;0.0155;0.0515;0.0172;91.80204528853177;99.77428780131483;0.4590102264426589;0.49887143900657416;604061.2549306063;362329.3542731921;441.24269899971245;264.6671689358598
Ü;627;257;515;172;0.0627;0.0257;0.0515;0.0172;92.79949077021006;93.99172501591343;0.4639974538510503;0.46995862507956715;961590.8924252068;391459.8395926162;612.0884102006409;249.17876485844442
V;529;148;315;154;0.0529;0.0148;0.0315;0.0154;94.16055846422339;94.48342059336824;0.47080279232111694;0.4724171029668412;377164.18499127397;222340.45724258292;329.11359946882544;194.0143605956221
Y;523;150;308;301;0.0523;0.015;0.0308;0.0301;96.11778471138845;99.13494539781591;0.48058892355694227;0.49567472698907955;535017.6544461779;202659.21450858033;417.3304636865662;158.08051053711415
Z;215;490;580;262;0.0215;0.049;0.058;0.0262;99.33354880413704;102.67550096961861;0.4966677440206852;0.5133775048480931;775877.1014867486;330309.8888170653;501.536587903522;213.5164116464546
